"mohcd_development_id","development_name","marketing_address","marketing_zip_code","supervisor_district","city_analysis_marketing","planning_neighborhood","ocii_project_area","lead_agency_account_name","tenure","project_status","development_type","general_housing_program","housing_program_program_name","multiphase_or_multisite_project_name","estimated_actual_construction","total_project_units","income_restricted_resid_units","sro_units_rollup","studios_units_rollup","_1_bedroom_units_rollup","_2_bedroom_units_rollup","_3_bedroom_units_rollup","_4_bedroom_units_rollup","_5_bedroom_units_rollup","treatment_beds","senior_units_rollup","tay_units_rollup","homeless_units_rollup","losp_units_rollup","vash_units_rollup","latitude","longitude","location"
"1993-018","Hillside Village","17 Bowman Ct","94124","10","Bayview Hunters Point","Bayview","Bayview Hunters Point","SFRA","Ownership","Construction Complete","New Construction","Other Ownership Programs","City Second Loan Program",,"1992-08-28T00:00:00.000","73","1","0","0","0","0","0","0","0","0","0","0","0","0","0","37.73780357","-122.3821563","POINT (-122.3821563 37.73780357)"
"2016-085","HomeRise at Mission Bay","410 China Basin St","94158","6","Mission Bay","South of Market","Mission Bay","OCII","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program","Mission Bay South","2023-04-24T00:00:00.000","140","140","0","140","0","0","0","0","0","0","0","0","140","140","0","37.77228738","-122.3882155","POINT (-122.3882155 37.77228738)"
"1996-013","Hotel Isabel","1091-1099 Mission St","94103","6","South of Market","South of Market","Not in an OCII Project Area","SFRA","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2000-07-07T00:00:00.000","72","72","72","0","0","0","0","0","0","0","0","0","20","0","0","37.77920919","-122.4104496","POINT (-122.4104496 37.77920919)"
"2016-037","Howard Street Apartments","1601-1617 Howard St","94103","6","Mission","South of Market","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2009-08-14T00:00:00.000","12","12","0","0","0","12","0","0","0","0","0","0","0","0","0","37.77139362","-122.4167024","POINT (-122.4167024 37.77139362)"
"2016-058","HPSY I, Block 52 (Inclusionary)","11 Jerrold Ave","94124","10","Bayview Hunters Point","Bayview","HP Shipyard Phase 1","OCII","Ownership","Construction Complete","New Construction","Other Ownership Programs","Limited Equity Program","Hunters Point Ship Yard I","2025-04-08T00:00:00.000","9","9","0","3","3","3","0","0","0","0","0","0","0","0","0","37.72711014","-122.3694119","POINT (-122.3694119 37.72711014)"
"2015-043","HQ","1532 Harrison St","94103","6","Mission","South of Market","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2022-07-12T00:00:00.000","22","22","0","9","3","10","0","0","0","0","0","0","0","0","0","37.77036002","-122.4129351","POINT (-122.4129351 37.77036002)"
"2013-029","Hunters Point East / West","1068 Palou Ave","94124","10","Bayview Hunters Point","Bayview","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Rental Assistance Demonstration Program",,"2018-04-24T00:00:00.000","215","213","0","0","16","124","35","29","9","0","0","0","0","0","0","37.73084204","-122.3787842","POINT (-122.3787842 37.73084204)"
"2006-021a","Hunters View (Phase 1)","1101 Fairfax Ave","94124","10","Bayview Hunters Point","Bayview","Not in an OCII Project Area","MOHCD/SFRA","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","HOPE SF","Hunters View HOPE SF","2013-03-12T00:00:00.000","108","107","0","0","4","49","37","15","2","0","0","0","0","0","0","37.73666676","-122.3812555","POINT (-122.3812555 37.73666676)"
"2006-021c","Hunters View Phase 2B (Block 10)","901 Fairfax Ave","94124","10","Bayview Hunters Point","Bayview","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","HOPE SF","Hunters View HOPE SF","2017-12-06T00:00:00.000","73","72","0","0","38","0","32","0","2","0","0","0","0","0","0","37.73535412","-122.3789501","POINT (-122.3789501 37.73535412)"
"2006-021b","Hunters View Phase IIA- 7a-7d & 11e-11f","112 Middle Point Rd","94124","10","Bayview Hunters Point","Bayview","Not in an OCII Project Area","OCII","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","HOPE SF","Hunters View HOPE SF","2017-06-26T00:00:00.000","108","107","0","0","30","32","33","12","0","0","0","0","0","0","0","37.73593068","-122.3813669","POINT (-122.3813669 37.73593068)"
"2006-021d","Hunters View Phase III","201 West Point Rd","94124","10","Bayview Hunters Point","Bayview","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","HOPE SF","Hunters View HOPE SF","2025-11-12T00:00:00.000","117","117","0","0","52","10","16","34","5","0","0","0","15","0","0","37.73504944","-122.3790923","POINT (-122.3790923 37.73504944)"
"2017-055","Jazzie Collins Apartments (at 53 Colton Street - part of 1629 Market Master Plan Area)","53 Colton St","94103","6","Mission","South of Market","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program","Brady Block/Plumber's Union","2022-10-05T00:00:00.000","96","96","0","96","0","0","0","0","0","0","0","0","96","96","0","37.77298947","-122.419933","POINT (-122.419933 37.77298947)"
"1999-023","Jelani Family Program","1638 Kirkwood Ave","94124","10","Bayview Hunters Point","Bayview","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Transitional",,"1998-10-29T00:00:00.000","12","12","0","0","0","0","0","0","0","12","0","0","0","0","0","37.73881771","-122.390482","POINT (-122.390482 37.73881771)"
"1989-004","Jelani House","1601 Quesada Ave","94124","10","Bayview Hunters Point","Bayview","Not in an OCII Project Area","MOHCD/SFRA","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Transitional",,"1997-10-24T00:00:00.000","16","16","0","0","0","0","0","0","0","16","0","0","0","0","0","37.73219801","-122.3898883","POINT (-122.3898883 37.73219801)"
"2010-002","John Burton Advocates for Youth Housing Complex","800 Presidio Ave","94115","5","Presidio Heights","Western Addition","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2018-02-05T00:00:00.000","51","50","0","48","0","2","0","0","0","0","0","0","25","25","0","37.78433584","-122.4459697","POINT (-122.4459697 37.78433584)"
"1985-003","Junipero Serra House","926 Fillmore St","94117","5","Western Addition","Western Addition","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"1989-12-11T00:00:00.000","26","25","0","7","18","0","0","0","0","0","0","0","0","0","0","37.77801412","-122.4312704","POINT (-122.4312704 37.77801412)"
"1990-015","Knox SRO","241 6th St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Rental","Building Rehabilitation (Construction)","Rehabilitation","MOHCD 100% Affordable (New Development)","Multifamily Securities Program",,"1995-03-08T00:00:00.000","140","140","140","0","0","0","0","0","0","0","0","0","29","0","0","37.77935538","-122.4063623","POINT (-122.4063623 37.77935538)"
"1999-017","Kokoro Assisted Living Facility","1881-1899 Bush St","94109","5","Pacific Heights","Western Addition","Western Addition-Area 2","SFRA","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Assisted Living/Skilled Nursing Facility",,"2021-04-27T00:00:00.000","37","37","0","34","3","0","0","0","0","0","37","0","0","0","0","37.78742025","-122.4279673","POINT (-122.4279673 37.78742025)"
"2016-006","Konrad","971 Eddy St","94109","2","Western Addition","Downtown/Civic Center","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2022-04-15T00:00:00.000","11","11","0","1","8","2","0","0","0","0","0","0","0","0","0","37.78241934","-122.4236557","POINT (-122.4236557 37.78241934)"
"2015-057","La Maison SoMa","241 10th St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2017-08-17T00:00:00.000","3","3","0","0","2","1","0","0","0","0","0","0","0","0","0","37.77364986","-122.4133462","POINT (-122.4133462 37.77364986)"
"2003-001","Lantern Lofts","1168 Folsom St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2005-12-22T00:00:00.000","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","37.77578606","-122.4095608","POINT (-122.4095608 37.77578606)"
"1997-013","Laurel Gardens Apartments","1555 Turk St","94115","5","Western Addition","Western Addition","Western Addition-Area 2","SFRA","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"1999-03-01T00:00:00.000","52","52","0","0","12","24","16","0","0","0","0","0","0","0","0","37.779879","-122.4343949","POINT (-122.4343949 37.779879)"
"1996-007","Leland Apartments","980 Howard St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD/SFRA","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"1998-06-30T00:00:00.000","25","24","0","0","0","24","0","0","0","0","0","0","0","0","0","37.78022002","-122.406674","POINT (-122.406674 37.78022002)"
"2012-021","L Seven","1222 Harrison St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2018-11-15T00:00:00.000","62","62","0","5","32","25","0","0","0","0","0","0","0","0","0","37.77379911","-122.4087623","POINT (-122.4087623 37.77379911)"
"2008-040","Marcus Garvey Co-Ops/1680 Eddy Street (Agency Share Loan Program (WA-A2))","1749-1797 Ellis St","94115","5","Western Addition","Western Addition","Western Addition-Area 2","SFRA","Ownership","Construction Complete","Rehabilitation","Other Ownership Programs","Limited Equity Program",,"1986-10-25T00:00:00.000","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","37.78159676","-122.4347638","POINT (-122.4347638 37.78159676)"
"2008-006","Marcy Adelman and Jeanette Gurevitch Openhouse Community","95 Laguna St","94102","8","Hayes Valley","Western Addition","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2020-07-02T00:00:00.000","80","79","0","40","36","3","0","0","0","0","0","0","15","0","0","37.77168725","-122.4254209","POINT (-122.4254209 37.77168725)"
"1981-014","Mariners Village","621-635 La Salle Ave","94124","10","Bayview Hunters Point","Bayview","Bayview Hunters Point","SFRA","Ownership","Construction Complete","New Construction","Other Ownership Programs","Limited Equity Program",,,"178","1","0","0","0","0","0","0","0","0","0","0","0","0","0","37.72738937","-122.3731365","POINT (-122.3731365 37.72738937)"
"1969-001","Martin Luther King-Marcus Garvey Square Cooperative Apartments","1680 Eddy St","94115","5","Western Addition","Western Addition","Not in an OCII Project Area","SFRA","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2011-09-13T00:00:00.000","214","211","0","16","50","57","56","32","0","0","0","0","0","0","0","37.78159676","-122.4347628","POINT (-122.4347628 37.78159676)"
"2009-020","Mary Helen Rogers Senior Community","701-725 Golden Gate Ave","94102","5","Western Addition","Downtown/Civic Center","Western Addition-Area 2","SFRA","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2013-02-27T00:00:00.000","101","100","0","28","72","0","0","0","0","0","0","0","20","0","0","37.78067819","-122.4221836","POINT (-122.4221836 37.78067819)"
"1996-019","McAllister Mews","1235 McAllister St","94115","5","Western Addition","Western Addition","Western Addition-Area 2","SFRA","Ownership","Construction Complete","New Construction","Other Ownership Programs","City Second Loan Program",,"1999-10-21T00:00:00.000","81","1","0","0","1","0","0","0","0","0","0","0","0","0","0","37.77803608","-122.4324162","POINT (-122.4324162 37.77803608)"
"2001-021","McAllister Street Co-ops","1840 McAllister St","94115","2","Lone Mountain/USF","Western Addition","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2003-10-22T00:00:00.000","10","10","0","0","0","0","0","0","0","10","0","0","0","0","0","37.77754003","-122.4425237","POINT (-122.4425237 37.77754003)"
"1987-004","Mendelsohn House","737 Folsom St","94107","6","South of Market","South of Market","Yerba Buena Center","MOHCD/SFRA","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"1991-04-09T00:00:00.000","191","189","0","97","91","1","0","0","0","0","0","0","0","0","0","37.78291989","-122.3997054","POINT (-122.3997054 37.78291989)"
"1999-007","Metro at Showplace Square","660 King St","94107","6","Mission Bay","South of Market","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2006-08-07T00:00:00.000","22","22","0","14","4","4","0","0","0","0","0","0","0","0","0","37.77029729","-122.4019445","POINT (-122.4019445 37.77029729)"
"1995-017","Minna Park Family Housing","529-539 Minna St","94103","6","South of Market","South of Market","Not in an OCII Project Area","SFRA","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2000-03-13T00:00:00.000","26","26","0","0","11","7","7","1","0","0","0","0","0","0","0","37.77990411","-122.4085855","POINT (-122.4085855 37.77990411)"
"2013-004","Mission Bay by Windsor","360 Berry St","94158","6","Mission Bay","South of Market","Mission Bay","OCII","Rental","Construction Complete","New Construction","Inclusionary Housing","OCII Inclusionary Rental Program","Mission Bay North","2017-06-15T00:00:00.000","26","26","0","0","14","11","1","0","0","0","0","0","0","0","0","37.77284359","-122.3972602","POINT (-122.3972602 37.77284359)"
"2016-093","Mission Bay South Block 9A","400 China Basin St","94158","6","Mission Bay","South of Market","Mission Bay","OCII","Ownership","Construction Complete","New Construction","Other Ownership Programs","Limited Equity Program","Mission Bay South","2025-01-08T00:00:00.000","148","148","0","0","50","63","35","0","0","0","0","0","0","0","0","37.77258837","-122.3875026","POINT (-122.3875026 37.77258837)"
"2002-019","Mission Creek Senior Community","225 Berry St","94158","6","Mission Bay","South of Market","Mission Bay","SFRA","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2007-03-07T00:00:00.000","141","140","0","0","139","1","0","0","0","0","0","0","53","53","0","37.77521011","-122.393792","POINT (-122.393792 37.77521011)"
"2007-022","Mission Walk","330-335 Berry St","94158","6","Mission Bay","South of Market","Mission Bay","SFRA","Ownership","Construction Complete","New Construction","Other Ownership Programs","Limited Equity Program",,"2009-10-16T00:00:00.000","131","130","0","0","25","79","25","0","0","0","0","0","0","0","0","37.77306957","-122.3963658","POINT (-122.3963658 37.77306957)"
"1990-020","Model Block Program - Newcomb (HP)","1725 & 1762 Newcomb Ave","94124","10","Bayview Hunters Point","Bayview","Bayview Hunters Point","SFRA","Ownership","Construction Complete","Rehabilitation","Other Ownership Programs","Limited Equity Program",,,"1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","37.73635733","-122.3922086","POINT (-122.3922086 37.73635733)"
"2016-076","Modera Rincon Hill","390 1st St","94105","6","Financial District/South Beach","South of Market","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2021-02-10T00:00:00.000","24","24","0","6","8","9","1","0","0","0","0","0","0","0","0","37.78609148","-122.3933751","POINT (-122.3933751 37.78609148)"
"2010-010","Mosso","900 Folsom St","94107","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2016-06-23T00:00:00.000","71","69","0","14","25","30","0","0","0","0","0","0","0","0","0","37.78015433","-122.4040244","POINT (-122.4040244 37.78015433)"
"2000-012","Namiki Apartments","1776 Sutter St","94115","5","Pacific Heights","Western Addition","Western Addition-Area 2","SFRA","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2019-07-19T00:00:00.000","35","34","0","0","33","1","0","0","0","0","0","0","0","0","0","37.78685256","-122.4293932","POINT (-122.4293932 37.78685256)"
"2007-002","Natoma Family Apartments","474 Natoma St","94103","6","South of Market","South of Market","South of Market","OCII","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2014-06-11T00:00:00.000","60","60","0","7","28","18","7","0","0","0","0","0","0","0","0","37.78063713","-122.4073337","POINT (-122.4073337 37.78063713)"
"2007-011","NEMA Phase 1","8 10th St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2015-02-27T00:00:00.000","46","32","0","20","12","0","0","0","0","0","0","0","0","0","0","37.77582441","-122.4171558","POINT (-122.4171558 37.77582441)"
"2007-012","NEMA Phase 2","8 10th St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2015-02-27T00:00:00.000","58","58","0","18","26","14","0","0","0","0","0","0","0","0","0","37.77582441","-122.4171557","POINT (-122.4171557 37.77582441)"
"1973-001","Nihonmachi Terrace","1615 Sutter St","94109","5","Japantown","Western Addition","Not in an OCII Project Area","SFRA","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2010-09-16T00:00:00.000","247","245","0","51","142","30","18","4","0","0","0","0","0","0","0","37.78674668","-122.426821","POINT (-122.426821 37.78674668)"
"2024-004","Normandy Apartments","1155 Ellis St","94109","2","Western Addition","Western Addition","Not in an OCII Project Area","MOHCD","Rental","Building Rehabilitation (Construction)","Rehabilitation","MOHCD 100% Affordable (Preservation)","Big Sites Program",,"2026-12-01T00:00:00.000","108","108","0","78","30","0","0","0","0","0","0","0","0","0","0","37.7830118","-122.4250554","POINT (-122.4250554 37.7830118)"
"2007-020","Octavia Court","261 Octavia St","94102","5","Hayes Valley","Western Addition","Not in an OCII Project Area","SFRA","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2011-01-27T00:00:00.000","16","15","0","0","12","3","0","0","0","0","0","0","0","0","0","37.77460285","-122.4243586","POINT (-122.4243586 37.77460285)"
"1990-018","Odyssey House","484 Oak St","94102","5","Hayes Valley","Western Addition","Not in an OCII Project Area","MOHCD/SFRA","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Transitional",,"1992-10-23T00:00:00.000","10","10","0","0","0","0","0","0","0","10","0","0","0","0","0","37.77463407","-122.4271406","POINT (-122.4271406 37.77463407)"
"2009-007","Olume","1401 Mission St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2016-05-27T00:00:00.000","18","18","0","3","8","7","0","0","0","0","0","0","0","0","0","37.77490763","-122.4158189","POINT (-122.4158189 37.77490763)"
"1997-016","One Church Street Apartments","1 Church St","94114","8","Hayes Valley","Western Addition","Not in an OCII Project Area","MOHCD/SFRA","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2002-10-29T00:00:00.000","94","93","0","0","30","35","28","0","0","0","0","0","0","0","0","37.76972483","-122.4288628","POINT (-122.4288628 37.76972483)"
"2012-009","Pacific Pointe","350 Friedell St","94124","10","Bayview Hunters Point","Bayview","HP Shipyard Phase 1","OCII","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2016-07-01T00:00:00.000","59","59","0","0","27","20","12","0","0","0","0","0","0","0","0","37.7276976","-122.3705515","POINT (-122.3705515 37.7276976)"
"2004-034","Parkview Terraces","871 Turk St","94102","2","Western Addition","Downtown/Civic Center","Western Addition-Area 2","SFRA","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2008-03-13T00:00:00.000","101","101","0","59","42","0","0","0","0","0","0","0","20","20","0","37.78133271","-122.4234129","POINT (-122.4234129 37.78133271)"
"1993-003","Peter Claver Community","1340 Golden Gate Ave","94115","5","Western Addition","Western Addition","Not in an OCII Project Area","MOHCD/SFRA","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2020-03-05T00:00:00.000","32","32","32","0","0","0","0","0","0","0","0","0","0","0","0","37.77975397","-122.4326104","POINT (-122.4326104 37.77975397)"
"2000-008","Pierce Street Apartments","220 Pierce St","94117","5","Haight Ashbury","Western Addition","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"1984-09-04T00:00:00.000","8","8","0","0","8","0","0","0","0","0","0","0","0","0","0","37.77218583","-122.4333989","POINT (-122.4333989 37.77218583)"
"2002-022","Plaza Apartments","988-992 Howard St","94103","6","South of Market","South of Market","South of Market","SFRA","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2006-10-20T00:00:00.000","106","106","0","106","0","0","0","0","0","0","0","0","56","56","0","37.78007593","-122.4070355","POINT (-122.4070355 37.78007593)"
"1992-005","Portola Place","1956 Armstrong Ave","94124","10","Bayview Hunters Point","Bayview","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"1997-08-20T00:00:00.000","24","24","0","0","0","0","24","0","0","0","0","0","0","0","0","37.72922569","-122.3968877","POINT (-122.3968877 37.72922569)"
"2011-008","Potrero 1010","1010 16th St","94107","6","Mission Bay","South of Market","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2017-05-15T00:00:00.000","93","91","0","22","32","37","0","0","0","0","0","0","0","0","0","37.76654828","-122.3968965","POINT (-122.3968965 37.76654828)"
"1999-020","Providence Senior Housing","4699 3rd St","94124","10","Bayview Hunters Point","Bayview","Not in an OCII Project Area","SFRA","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2009-09-21T00:00:00.000","51","50","0","0","50","0","0","0","0","0","0","0","0","0","0","37.73600428","-122.3898828","POINT (-122.3898828 37.73600428)"
"2013-038","Rachel Townsend Apartments","1750 McAllister St","94115","5","Western Addition","Western Addition","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Rental Assistance Demonstration Program",,"2019-04-10T00:00:00.000","97","97","0","75","21","1","0","0","0","0","0","0","0","0","0","37.77779543","-122.4406625","POINT (-122.4406625 37.77779543)"
"2008-031","Rafiki House","1761 Turk St","94115","5","Western Addition","Western Addition","Not in an OCII Project Area","SFRA","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Transitional",,"1998-07-14T00:00:00.000","11","11","0","0","0","0","0","0","0","11","0","0","0","0","0","37.77957718","-122.4379","POINT (-122.4379 37.77957718)"
"1984-005","Reardon Heights (formerly Aspen South Hills)","50 Reardon Rd","94124","10","Bayview Hunters Point","Bayview","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2018-11-26T00:00:00.000","83","82","0","0","30","52","0","0","0","0","0","0","0","0","0","37.7294383","-122.3765532","POINT (-122.3765532 37.7294383)"
"2007-004","Rene Cazenave Apts (Transbay Block 11A)","25 Essex St","94105","6","Financial District/South Beach","South of Market","Transbay","OCII","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program","Transbay","2013-12-16T00:00:00.000","120","120","0","107","13","0","0","0","0","0","0","0","69","69","0","37.78630273","-122.39516","POINT (-122.39516 37.78630273)"
"2006-025","Richardson Apartments (Parcel G)","365 Fulton St","94102","5","Hayes Valley","Downtown/Civic Center","Western Addition-Area 2","MOHCD/SFRA","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2011-09-06T00:00:00.000","120","120","0","120","0","0","0","0","0","0","0","0","76","64","0","37.77869209","-122.4228525","POINT (-122.4228525 37.77869209)"
"1999-012","Rich Sorro Commons","150 Berry St","94107","6","Mission Bay","South of Market","Mission Bay","SFRA","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2004-09-21T00:00:00.000","101","100","0","0","15","40","35","10","0","0","0","0","0","0","0","37.77717305","-122.3916352","POINT (-122.3916352 37.77717305)"
"1970-001","Ridgeview Terrace Apartments","140 Cashmere St","94124","10","Bayview Hunters Point","Bayview","Western Addition-Area 2","MOHCD","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2013-10-08T00:00:00.000","101","101","0","12","36","27","14","11","1","0","0","0","0","0","0","37.73628361","-122.3844504","POINT (-122.3844504 37.73628361)"
"2009-009","Rincon Green","333 Harrison St","94105","6","Financial District/South Beach","South of Market","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2013-02-27T00:00:00.000","51","49","0","29","18","2","0","0","0","0","0","0","0","0","0","37.78659818","-122.391242","POINT (-122.391242 37.78659818)"
"2013-031","Robert B. Pitts Apartments","1150 Scott St","94102","5","Western Addition","Western Addition","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Rental Assistance Demonstration Program",,"2018-06-18T00:00:00.000","203","201","0","0","0","77","112","12","0","0","0","0","0","0","0","37.78041335","-122.4365551","POINT (-122.4365551 37.78041335)"
"2014-014","Rockwell","1688 Pine St","94109","2","Western Addition","Western Addition","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2022-03-22T00:00:00.000","31","31","0","0","18","13","0","0","0","0","0","0","0","0","0","37.78946044","-122.4231709","POINT (-122.4231709 37.78946044)"
"2013-036","Rosa Parks Apartments","1251 Turk St","94115","5","Western Addition","Western Addition","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Rental Assistance Demonstration Program",,"2018-11-16T00:00:00.000","202","202","0","20","101","81","0","0","0","0","0","0","0","0","0","37.78046422","-122.4293983","POINT (-122.4293983 37.78046422)"
"1982-017","Russian Hill View Apts","22 Terra Vista Ave","94115","2","Lone Mountain/USF","Western Addition","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","Rehabilitation","Other Ownership Programs","Condo Conversion Program",,"2019-04-23T00:00:00.000","62","61","0","9","37","13","2","0","0","0","0","0","0","0","0","37.78174784","-122.4417503","POINT (-122.4417503 37.78174784)"
"2015-006c","SFCLT Scattered Sites - 568-570 Natoma","568-570 Natoma St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (Preservation)","Small Sites Program","SFCLT Scattered Sites","2018-07-25T00:00:00.000","5","5","0","1","4","0","0","0","0","0","0","0","0","0","0","37.77906238","-122.4092777","POINT (-122.4092777 37.77906238)"
"2018-052e","SFHA Scattered Sites - Eddy","1357-1371 Eddy St","94115","5","Western Addition","Western Addition","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Multifamily Securities Program","SFHA Scattered Sites","2023-06-23T00:00:00.000","8","8","0","0","0","0","8","0","0","0","0","0","0","0","0","37.78151141","-122.4298107","POINT (-122.4298107 37.78151141)"
